X,Y,OBJECTID,StopID,EasyGo,Street,CrossStreet,Easting,Northing,Longitude,Latitude,Municipality,CreateDate,EditDate,Status,GlobalID
553675.019,4809236.1963,6022,13821,4101,Maple Grove Rd,Beaverdale Rd,553675.495,4809236.196,-80.336785,43.434099,Cambridge,2017/09/25 12:10:31+00,2019/01/08 14:41:27+00,Active,{309FB3A6-1167-4DDA-AE19-7A65BC433DA4}
537759.329,4814401.2326,6025,10166,1161,Hazel St,Austin Dr,537759.329,4814401.23255239,-80.53308003,43.48157698,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:29:04+00,Active,{F8ED2280-9BDE-46BC-9271-E0A5D29343B7}
554352.6146,4804272.3743,6026,10417,1394,Dunbar Rd,Daleview Cres,554352.6146,4804272.37425221,-80.32891303,43.38935701,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:29:51+00,Active,{FADCD7E7-6F88-4209-9C06-A23B53340DE2}
539051.7084,4809856.8775,6027,12281,3219,Victoria St S,Paulander Dr,539051.70839361,4809856.87754272,-80.51742498,43.44059304,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:36:04+00,Active,{AF04F464-6D21-40AA-9199-570F913CDA47}
544714.2121,4809216.7878,6029,10906,1873,Weber St E,Franlin St N,544714.21213015,4809216.78783113,-80.44750697,43.434513,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:31:35+00,Active,{AB4EFA14-439D-4D45-BC8F-05B6C884ACEB}
535442.0852,4826715.388,6032,12923,3873,Arthur St S,First St,535442.08519955,4826715.38796992,-80.5609297,43.59256677,Woolwich,2014/04/04 18:40:35+00,2019/01/08 14:38:39+00,Active,{800D322C-BBD2-467D-97BF-CC717CE544CB}
545900.0078,4802996.3846,6033,13901,3995,Robert Ferrie Dr,Doon South Dr,545900.0078,4802996.3846,-80.43337817,43.37843272,Kitchener,2018/07/11 10:32:49+00,2019/01/08 14:41:46+00,Active,{CE6F7BE0-1751-4FFA-A86C-5898F87A16BC}
539652.7647,4812417.164,6034,13282,1083,Union St E,Devitt Ave S,539652.789,4812417.157,-80.509811,43.463614,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:39:44+00,Active,{4EAC0725-6F99-47FE-A0E8-EE5D24570F9C}
539827.7083,4814210.2414,6035,11883,2827,Lincoln Rd,Mayfield Ave,539827.70830862,4814210.24142808,-80.50751798,43.47974999,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:34:46+00,Active,{8693957E-7896-40C4-8F75-FB76BD1AB6FF}
552891.3356,4805732.3571,6036,10442,1418,Concession Rd,Garden St,552891.3356,4805732.35707693,-80.34681296,43.40260696,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:29:55+00,Active,{AA624F70-4E23-497D-8092-5067725219FA}
539579.0466,4811424.6884,6037,12343,3279,Park St,Green St,539579.04662803,4811424.68841935,-80.51079496,43.45468201,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:36:17+00,Active,{51B0F3C1-377B-4E97-8A3F-C51D69562B7F}
535663.6724,4827468.3128,6039,12848,3817,Arthur St S,Mill St,535663.67238094,4827468.312786,-80.55813507,43.59933544,Woolwich,2014/04/04 18:40:35+00,2019/01/08 14:38:25+00,Active,{081480FE-DE0E-4820-8B5C-684A40053212}
538035.8309,4816258.6118,6040,13374,6123,Conestoga Station,ION platform - Northbound,538035.858,4816258.551,-80.529531,43.498286,Waterloo,2015/01/23 11:54:24+00,2019/01/08 14:59:50+00,Active,{8EF5EFEE-2729-4E21-8BFA-55CEBC18D0B7}
538785.0378,4809760.9271,6041,12177,3117,Victoria St S,Westmount Rd W,538785.03778908,4809760.92707315,-80.52072702,43.43974295,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:35:43+00,Active,{01DE92C6-7565-40B6-8F02-1B1C0DD1C53F}
540189.6432,4811413.5307,6043,10930,1896,King St W,Wellington St,540189.64315231,4811413.53069047,-80.50324896,43.45454901,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:31:40+00,Active,{28F22E42-EDEB-4C8D-853F-9EDD170D1A61}
546762.838,4802575.9598,6046,13893,3990,Robert Ferrie Dr,Blair Creek Dr,546762.838,4802575.9598,-80.42276323,43.37459394,Kitchener,2018/07/11 10:30:49+00,2019/01/08 14:41:45+00,Active,{4DFE0254-B646-4E7F-998A-FAF24EBB121D}
543457.9083,4805625.1789,6051,10820,1787,Trillium Dr,Adam Ferrie Pl,543457.90827658,4805625.17889274,-80.463315,43.40224797,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:31:16+00,Active,{6666F5BC-6EBB-4384-B626-9ADDAFDD7280}
538226.0273,4815059.2386,6055,10951,1917,King St N,Blue Springs Dr,538226.02726671,4815059.23861716,-80.52726298,43.48747796,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:31:44+00,Active,{5ADDE525-EABE-4D79-B2D8-0D6DBD823B32}
557830.6232,4804331.1349,6058,10393,1371,Saginaw Pky,Fairgreen Close,557830.6232,4804322.09,-80.285971,43.389635,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:29:46+00,Active,{915C7E3B-E09B-4824-A5B5-A5A58DFC43D0}
542810.3704,4810428.3312,6063,11905,2847,Weber St E,Borden Ave,542810.37036986,4810428.33122497,-80.47093496,43.44553298,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:34:50+00,Active,{9A4B4591-A12B-493E-93B8-26AFA962B732}
541215.2283,4810963.9222,6065,10924,1890,King St W,Ontario St,541215.22828248,4810963.92220697,-80.49060702,43.45044496,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:31:38+00,Active,{DE876D8D-7DFF-4E32-86F3-98ED57387AC7}
543138.3901,4805229.3095,6067,10874,1841,Strasburg Rd,Battler Rd,543138.39005595,4805229.30947081,-80.46729197,43.39870199,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:31:28+00,Active,{9C762C7F-3B64-42BB-A044-547D598BFA4E}
